# Data from McConnachie & Venn 2020: https://ui.adsabs.harvard.edu/abs/2020AJ....160..124M/abstract
# Otherwise from Table A1 of Riley et al (2019): https://ui.adsabs.harvard.edu/abs/2019MNRAS.486.2679R/abstract 
# It contains only satellites within 300 kpc from the MW.
# See "all dwarfs" file for extra 3 objects: Eridanus 2, Leo T, Phoenix.
# (1)ID   (2)Name   (3)l    (4)b    (5)Dist    (6)Dist_err   (7)Vradial   (8)Vradial_error   (9)mu_alpha     (10)mu_aplha_error    (11)mu_delta      (12)mu_delta_error
0  Sagittarius_I        5.57     -14.17     26.0   2.0      140.0  2.0        -2.692   0.001      -1.359   0.001   
1  LMC                  280.47   -32.89     51.0   2.0      262.2  3.4         1.85    0.03        0.234   0.03    
2  SMC                  302.80   -44.30     64.0   4.0      145.6  0.6         0.797   0.03       -1.22    0.03    
3  Draco_I              86.43    34.71      76.0   6.0      -291.0 0.1        -0.01    0.01       -0.14    0.01   
4  Ursa_Minor           104.98   44.81      76.0   4.0      -246.9 0.1        -0.16    0.01        0.06    0.01   
5  Sculptor             287.53   -83.16     83.9   1.5      111.4  0.1         0.081   0.005      -0.136   0.004   
6  Sextans              243.51   42.27      92.5   2.2      224.2  0.1        -0.44    0.02        0.09    0.02    
7  Carina_I             260.11   -22.22     105.6  5.4      222.9  0.1         0.48    0.01        0.13    0.01   
8  Fornax               237.26   -65.67     147.0  9.0      55.3   0.1         0.380   0.002      -0.410   0.004  
9  Leo_II               220.17   67.23      233.0  15.0     78.5   0.6        -0.12    0.06       -0.17    0.06   
10 Leo_I                225.98   49.12      258.2  9.5      282.5  0.1        -0.06    0.07       -0.18    0.08   
11 Antlia_II		264.86   11.25      132.3  6.7      290.7  0.5        -0.05    0.04 	   0.04	   0.05
12 Aquarius_II          55.11    -53.01     107.9  3.3      -71.1  2.5        -0.0     0.16       -0.2	   0.16
13 Bootes_I             358.09   69.64      66.0   3.0      102.2  0.8        -0.47    0.04       -1.07    0.03   
14 Bootes_II            353.75   68.86      42.0   1.6      -117.1 7.6        -2.25    0.21       -0.63    0.15   
15 Canes_Venatici_I     74.32    79.82      210.0  6.0      30.9   0.6        -0.26    0.05       -0.06    0.03   
16 Canes_Venatici_II    113.58   82.70      160.0  7.0      -128.9 1.2        -0.34    0.11       -0.35    0.10   
17 Carina_II            269.98   -17.14     37.4   0.4      477.2  1.2         1.84    0.03        0.11    0.03    
18 Carina_III           270.01   -16.85     27.8   0.6      284.6  3.25        2.99    0.08        1.49    0.1    
19 Columba_I            231.62   -28.88     182    18       153.7  5.0         0.21    0.09       -0.14    0.1
20 Coma_Berenices_I     241.86   83.61      42.0   1.5      98.1   0.9         0.5     0.05       -1.67    0.04
21 Crater_II            282.91   42.03      117.5  1.1      87.5   0.4        -0.17    0.04       -0.09    0.02    
22 Draco_II             98.29    42.88      20.0   3.0      -347.6 1.75        1.06    0.17        0.96    0.18   
23 Grus_I               338.68   -58.24     120.2  11.1     -140.5 2.0        -0.05    0.12       -0.41    0.14
24 Grus_II              351.14   -51.94     53.2   5.2      -110.0 0.5         0.48    0.06       -1.41    0.09
25 Hercules             28.73    36.87      132.0  6.0      45.2   1.09       -0.13    0.07       -0.39    0.06   
26 Horologium_I         271.39   -54.73     79.0   7.0      112.8  2.55        0.87    0.05       -0.58    0.05   
27 Horologium_II        262.47   -54.14     78.3   7.2      168.7  12.9        0.89    0.23       -0.21    0.25
28 Hydra_II             295.62   30.46      151.0  8.0      303.1  1.4        -0.26    0.13       -0.05    0.12   
29 Hydrus_I             297.42   -36.75     27.6   0.5      80.4   0.6         3.77    0.03       -1.55    0.03   
30 Leo_IV               265.44   56.51      154.0  5.0      132.3  1.4        -0.20    0.13       -0.26    0.12   
31 Leo_V                261.85   58.54      173.0  5.0      172.1  2.2        -0.11    0.11       -0.21    0.10 
32 Phoenix_II           323.69   -59.75     83.5   7.7      32.4   3.8         0.44    0.08       -1.03    0.09
33 Pisces_II            79.21    -47.11     183.0  15.0     -226.5 2.7         0.07    0.11       -0.26    0.11  
34 Reticulum_II         266.28   -49.72     31.4   1.4      64.8   0.5         2.39    0.03       -1.3     0.03  
35 Reticulum_III        273.88   -45.65     92.0   13.2     274.2  7.5         0.05    0.21       -0.09    0.2
36 Sagittarius_II       18.94    -22.90     73.4   1.0      -177.3 1.2        -0.65    0.07       -0.96    0.04
37 Segue_I              220.49   50.42      23.0   2.0      208.5  0.9        -1.59    0.23       -3.5     0.21   
38 Segue_II             149.43   -38.14     36.6   2.45     -40.2  0.9         1.68    0.13        0.12    0.08
39 Triangulum_II        140.90   -23.83     28.4   1.6      -381.7 1.1         0.62    0.15        0.42    0.11   
40 Tucana_II            328.04   -52.35     57.5   5.3      -129.1 3.5         0.94    0.05       -1.22    0.06   
41 Tucana_III           315.38   -56.18     25.0   2.0      -102.3 0.4        -0.02    0.03       -1.67    0.03  
41 Tucana_IV            313.29   -55.29     48.3   4.2      15.9   1.8         0.63    0.13       -1.54    0.11
43 Tucana_V             316.31   -51.89     55.4   8.7      -36.3  2.5        -0.1     0.2        -1.01    0.23
44 Ursa_Major_I         159.44   54.39      97.3   5.85     -55.3  1.4        -0.56    0.06       -0.68    0.08   
45 Ursa_Major_II        152.46   37.44      34.7   2.1      -116.5 1.9         1.72    0.05       -1.84    0.06   
46 Willman_1            158.57   56.78      38.0   7.0      -12.8  1.0         0.36    0.1        -1.04    0.18
